api,one_line,is_dynamic,note
asfreq(rule),指定の周波数グリッドに再サンプリング（新しい辞書を返す）,False,
resample(rate),各要素を指定レート等でリサンプリング（インプレース）,False,
crop(start, end),各要素を指定周波数範囲で切り詰め,False,
pad(...),各要素にパディングを適用,False,
interpolate(...),各要素の周波数軸を補間・再サンプリング,False,
append(other),各要素の末尾にデータを追加（インプレース）,False,
prepend(other),各要素の先頭にデータを追加（インプレース）,False,
zpk(...),各要素にZPKフィルタを適用,False,
filter(...),各要素にフィルタを適用,False,
apply_response(...),各要素に複素周波数応答を適用,False,
phase(...),各要素の位相（radians）を計算,False,
angle(...),phase() のエイリアス,False,
degree(...),各要素の位相（degrees）を計算,False,
to_db(...),各要素を dB 表記に変換,False,
differentiate_time(),各要素に時間微分を適用,False,
integrate_time(),各要素に時間積分を適用,False,
group_delay(),各要素の群遅延を計算,False,
smooth(width, ...),各要素を平滑化,False,
ifft(...),各要素の逆FFTを実行し TimeSeriesDict を返す,False,
to_control_frd(),各要素を control.FRD に変換した辞書を返す,False,
to_torch(),各要素を PyTorch Tensor に変換した辞書を返す,False,
to_tensorflow(),各要素を TensorFlow Tensor に変換した辞書を返す,False,
to_jax(),各要素を JAX Array に変換した辞書を返す,False,
to_cupy(),各要素を CuPy Array に変換した辞書を返す,False,
to_pandas(),pandas.DataFrame（キーが列名）へ変換,False,
to_xarray(),xarray.Dataset（キーが変数名）へ変換,False,
to_matrix(),FrequencySeriesMatrix（NxM行列形式）へ変換,False,
to_tmultigraph(),CERN ROOT の TMultiGraph へ変換,False,
write(target, ...),HDF5 や ROOT ファイル等へ書き出し,False,
