Format,Read,Write,Extension,Remarks
GWF,○,○,.gwf,Standard (gwpy/framecpp)
HDF5,○,○,.h5 .hdf5,Standard
LIGO_LW XML,○,×,.xml .xml.gz,via dttxml (DTT compatible)
CSV/TXT,○,○,.csv .txt,ASCII (gwpy Standard)
Pickle,○,○,.pkl,Python object serialization
WAV,○,○,.wav,Standard Audio (Multi-channel read)
MiniSEED,○,○,.mseed,Seismic (via ObsPy)
SAC,○,○,.sac,Seismic (via ObsPy)
GSE2,○,○,.gse2,Seismic (via ObsPy)
KNET,○,×,.knet,Seismic (via ObsPy)
GBD,○,×,.gbd,Data Logger (Native reader)
WIN / WIN32,○,×,.win .cnt,Data Logger (Native / Fixed obspy)
MTH5,○,○,.h5,Magnetotelluric (via mth5)
ATS,○,×,.ats,Magnetotelluric (Native Binary / mth5)
ROOT,○,○,.root,CERN ROOT (Native/ROOT)
SQLite,○,○,.sqlite .db,Database
NetCDF4,○,○,.nc,Scientific Data
Zarr,○,○,.zarr,Cloud Optimized
Audio (MP3 etc),○,○,.mp3 .flac,via pydub
NDS2,○,×,(Network),Network Data Server
SDB,○,×,.sdb,Davis Weather Station / WeeWX (Native)
ORF,×,×,.orf,Not Supported (Stub)
TDMS,○,×,.tdms,National Instruments (via npTDMS)
