qualified_name,name,class,lineno,async,decorators,file,A2該当,A2細分類,内容区分,備考,status
gwexpy.timeseries.__init__.__getattr__,__getattr__,,37,False,[],gwexpy/__init__.py,No,非A2,非数値,dunder,removed
gwexpy.timeseries.__init__.__dir__,__dir__,,41,False,[],gwexpy/__init__.py,No,非A2,非数値,dunder,removed
gwexpy.timeseries._analysis.TimeSeriesAnalysisMixin.impute,impute,TimeSeriesAnalysisMixin,35,False,[],gwexpy/_analysis.py,Yes,A2-c,数値,kw,
gwexpy.timeseries._analysis.TimeSeriesAnalysisMixin.standardize,standardize,TimeSeriesAnalysisMixin,79,False,[],gwexpy/_analysis.py,Yes,A2-c,数値,kw,
gwexpy.timeseries._analysis.TimeSeriesAnalysisMixin.fit_arima,fit_arima,TimeSeriesAnalysisMixin,114,False,[],gwexpy/_analysis.py,Yes,A2-c,数値,kw,
gwexpy.timeseries._analysis.TimeSeriesAnalysisMixin.hurst,hurst,TimeSeriesAnalysisMixin,138,False,[],gwexpy/_analysis.py,No,非A2,非数値,,
gwexpy.timeseries._analysis.TimeSeriesAnalysisMixin.local_hurst,local_hurst,TimeSeriesAnalysisMixin,160,False,[],gwexpy/_analysis.py,No,非A2,非数値,,
gwexpy.timeseries._analysis.TimeSeriesAnalysisMixin.rolling_mean,rolling_mean,TimeSeriesAnalysisMixin,188,False,[],gwexpy/_analysis.py,Yes,A2-a,数値,kw,
gwexpy.timeseries._analysis.TimeSeriesAnalysisMixin.rolling_std,rolling_std,TimeSeriesAnalysisMixin,233,False,[],gwexpy/_analysis.py,Yes,A2-a,数値,kw,
gwexpy.timeseries._analysis.TimeSeriesAnalysisMixin.rolling_median,rolling_median,TimeSeriesAnalysisMixin,282,False,[],gwexpy/_analysis.py,No,非A2,非数値,,
gwexpy.timeseries._analysis.TimeSeriesAnalysisMixin.rolling_min,rolling_min,TimeSeriesAnalysisMixin,327,False,[],gwexpy/_analysis.py,No,非A2,非数値,,
gwexpy.timeseries._analysis.TimeSeriesAnalysisMixin.rolling_max,rolling_max,TimeSeriesAnalysisMixin,372,False,[],gwexpy/_analysis.py,No,非A2,非数値,,
gwexpy.timeseries._core.TimeSeriesCore.tail,tail,TimeSeriesCore,44,False,[],gwexpy/_core.py,No,非A2,非数値,,
gwexpy.timeseries._core.TimeSeriesCore.crop,crop,TimeSeriesCore,53,False,[],gwexpy/_core.py,Yes,A2-b,数値,external:np.ndim,
gwexpy.timeseries._core.TimeSeriesCore.append,append,TimeSeriesCore,76,False,[],gwexpy/_core.py,No,非A2,非数値,,
gwexpy.timeseries._core.TimeSeriesCore.find_peaks,find_peaks,TimeSeriesCore,101,False,[],gwexpy/_core.py,Yes,A2-c,数値,external:np.iterable,
gwexpy.timeseries._interop.TimeSeriesInteropMixin.to_pandas,to_pandas,TimeSeriesInteropMixin,37,False,[],gwexpy/_interop.py,No,非A2,非数値,,
gwexpy.timeseries._interop.TimeSeriesInteropMixin.from_pandas,from_pandas,TimeSeriesInteropMixin,61,False,['classmethod'],gwexpy/_interop.py,No,非A2,非数値,,
gwexpy.timeseries._interop.TimeSeriesInteropMixin.to_polars,to_polars,TimeSeriesInteropMixin,95,False,[],gwexpy/_interop.py,No,非A2,非数値,,
gwexpy.timeseries._interop.TimeSeriesInteropMixin.from_polars,from_polars,TimeSeriesInteropMixin,131,False,['classmethod'],gwexpy/_interop.py,No,非A2,非数値,,
gwexpy.timeseries._interop.TimeSeriesInteropMixin.to_tgraph,to_tgraph,TimeSeriesInteropMixin,165,False,[],gwexpy/_interop.py,No,非A2,非数値,,
gwexpy.timeseries._interop.TimeSeriesInteropMixin.to_th1d,to_th1d,TimeSeriesInteropMixin,182,False,[],gwexpy/_interop.py,No,非A2,非数値,,
gwexpy.timeseries._interop.TimeSeriesInteropMixin.from_root,from_root,TimeSeriesInteropMixin,200,False,['classmethod'],gwexpy/_interop.py,No,非A2,非数値,,
gwexpy.timeseries._interop.TimeSeriesInteropMixin.to_xarray,to_xarray,TimeSeriesInteropMixin,223,False,[],gwexpy/_interop.py,No,非A2,非数値,,
