target_ref,target_sha,week_start,category,category_label,commit_count,edited_lines
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2025-12-15,product_development,Product development,27,49011
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2025-12-15,fixes_hardening,Fixes & hardening,10,729
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2025-12-15,tests_qa,Tests & QA,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2025-12-15,documentation_examples,Documentation & examples,5,433
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2025-12-15,release_maintenance,Release & maintenance,2,1618
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2025-12-22,product_development,Product development,29,60208
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2025-12-22,fixes_hardening,Fixes & hardening,3,8156
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2025-12-22,tests_qa,Tests & QA,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2025-12-22,documentation_examples,Documentation & examples,1,110
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2025-12-22,release_maintenance,Release & maintenance,4,586
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2025-12-29,product_development,Product development,14,8077
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2025-12-29,fixes_hardening,Fixes & hardening,3,7108
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2025-12-29,tests_qa,Tests & QA,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2025-12-29,documentation_examples,Documentation & examples,3,637
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2025-12-29,release_maintenance,Release & maintenance,1,458
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-01-05,product_development,Product development,16,6208
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-01-05,fixes_hardening,Fixes & hardening,9,32442
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-01-05,tests_qa,Tests & QA,2,30
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-01-05,documentation_examples,Documentation & examples,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-01-05,release_maintenance,Release & maintenance,8,125
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-01-12,product_development,Product development,11,25490
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-01-12,fixes_hardening,Fixes & hardening,19,1409
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-01-12,tests_qa,Tests & QA,6,1731
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-01-12,documentation_examples,Documentation & examples,27,7233
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-01-12,release_maintenance,Release & maintenance,32,6507
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-01-19,product_development,Product development,22,23433
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-01-19,fixes_hardening,Fixes & hardening,19,3195
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-01-19,tests_qa,Tests & QA,8,1027
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-01-19,documentation_examples,Documentation & examples,63,38949
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-01-19,release_maintenance,Release & maintenance,26,7693
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-01-26,product_development,Product development,13,7608
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-01-26,fixes_hardening,Fixes & hardening,28,4834
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-01-26,tests_qa,Tests & QA,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-01-26,documentation_examples,Documentation & examples,68,57634
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-01-26,release_maintenance,Release & maintenance,17,4255
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-02-02,product_development,Product development,12,7464
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-02-02,fixes_hardening,Fixes & hardening,12,1138
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-02-02,tests_qa,Tests & QA,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-02-02,documentation_examples,Documentation & examples,25,4598
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-02-02,release_maintenance,Release & maintenance,17,3254
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-02-09,product_development,Product development,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-02-09,fixes_hardening,Fixes & hardening,1,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-02-09,tests_qa,Tests & QA,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-02-09,documentation_examples,Documentation & examples,34,7359
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-02-09,release_maintenance,Release & maintenance,6,165
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-02-16,product_development,Product development,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-02-16,fixes_hardening,Fixes & hardening,0,0
