target_ref,target_sha,week_start,category,category_label,commit_count,edited_lines
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2025-12-15,product_development,Product development,27,49011
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2025-12-15,fixes_hardening,Fixes & hardening,10,729
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2025-12-15,tests_qa,Tests & QA,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2025-12-15,documentation_examples,Documentation & examples,5,433
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2025-12-15,release_maintenance,Release & maintenance,2,1618
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2025-12-22,product_development,Product development,29,60208
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2025-12-22,fixes_hardening,Fixes & hardening,3,8156
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2025-12-22,tests_qa,Tests & QA,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2025-12-22,documentation_examples,Documentation & examples,1,110
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2025-12-22,release_maintenance,Release & maintenance,4,586
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2025-12-29,product_development,Product development,14,8077
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2025-12-29,fixes_hardening,Fixes & hardening,3,7108
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2025-12-29,tests_qa,Tests & QA,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2025-12-29,documentation_examples,Documentation & examples,3,637
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2025-12-29,release_maintenance,Release & maintenance,1,458
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-01-05,product_development,Product development,16,6208
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-01-05,fixes_hardening,Fixes & hardening,9,32442
